,topic,set,ref,title,author,lastRunTime,totalVotes
2,Neural-network-classification,kernels,rajeshjnv/heart-disease-classification-neural-network,Heart Disease Classification - Neural Network,Rajesh kumar jha,2019-07-05 20:32:42,123
4,Neural-network-classification,kernels,kanncaa1/deep-learning-tutorial-for-beginners,Deep Learning Tutorial for Beginners,DATAI,2019-05-25 14:42:24,2312
6,Neural-network-classification,kernels,divyansh22/neural-network-for-li-ion-classification,Neural Network for Li-Ion Classification,Divyansh Agrawal,2020-11-27 06:05:56,40
8,Neural-network-classification,kernels,kanncaa1/pytorch-tutorial-for-deep-learning-lovers,Pytorch Tutorial for Deep Learning Lovers,DATAI,2020-04-06 13:29:40,1321
10,Neural-network-classification,kernels,poonaml/deep-neural-network-keras-way,Deep Neural Network Keras way,Poonam Ligade,2018-07-09 09:53:52,1057
12,Neural-network-classification,kernels,tanulsingh077/deep-learning-for-nlp-zero-to-transformers-bert,Deep Learning For NLP: Zero To Transformers & BERT,Mr_KnowNothing,2020-04-13 17:19:49,1722
14,Neural-network-classification,kernels,abhishek/approaching-almost-any-nlp-problem-on-kaggle,Approaching (Almost) Any NLP Problem on Kaggle,Abhishek Thakur,2020-07-22 06:02:35,2182
16,Neural-network-classification,kernels,kanncaa1/convolutional-neural-network-cnn-tutorial,Convolutional Neural Network (CNN) Tutorial,DATAI,2020-10-29 12:24:11,809
18,Neural-network-classification,kernels,cdeotte/25-million-images-0-99757-mnist,25 Million Images! [0.99757] MNIST,Chris Deotte,2021-08-29 19:32:05,708
20,Neural-network-classification,kernels,hortonhearsafoo/fast-ai-v3-lesson-1,fast.ai v3 lesson 1,William Horton,2019-02-02 23:32:47,672
22,Neural-network-classification,kernels,janiobachmann/credit-fraud-dealing-with-imbalanced-datasets,Credit Fraud  || Dealing with Imbalanced Datasets,Janio Martinez Bachmann,2019-07-03 23:04:48,4312
24,Neural-network-classification,kernels,kanncaa1/machine-learning-tutorial-for-beginners,Machine Learning Tutorial for Beginners,DATAI,2018-07-24 14:43:45,2342
26,Neural-network-classification,kernels,huseinzol05/text-classification-recurrent-neural-network,Text Classification Recurrent Neural Network,Husein Zolkepli,2017-08-09 09:31:08,14
28,Neural-network-classification,kernels,shivamb/cnn-architectures-vgg-resnet-inception-tl,"""CNN Architectures : VGG ResNet Inception + TL""",Shivam Bansal,2018-10-29 10:56:18,694
30,Neural-network-classification,kernels,arslanali4343/heart-disease-classification-neural-network,Heart Disease Classification - Neural Network,Arslan Ali,2021-03-31 18:43:16,75
32,Neural-network-classification,kernels,jhoward/is-it-a-bird-creating-a-model-from-your-own-data,Is it a bird? Creating a model from your own data,Jeremy Howard,2022-08-15 20:20:12,1897
34,Neural-network-classification,kernels,azzion/iris-data-set-classification-using-neural-network,Iris Data Set Classification using Neural Network,David Joy,2018-01-27 08:47:55,10
36,Neural-network-classification,kernels,startupsci/titanic-data-science-solutions,Titanic Data Science Solutions,Manav Sehgal,2019-02-11 01:21:23,9434
38,Neural-network-classification,kernels,kakauandme/tensorflow-deep-nn,TensorFlow deep NN,Kirill Kliavin,2016-02-23 04:33:52,666
40,Neural-network-classification,kernels,vincee/intel-image-classification-cnn-keras,Intel Image Classification (CNN - Keras),Vincent Liu,2020-03-14 10:44:42,281
