,topic,set,ref,title,author,lastRunTime,totalVotes
2,,kernels,ahmetcankaraolan/salary-predict-with-nonlinear-regression-models,Salary Predict with NonLinear Regression Models,Ahmet Can Karaoglan,2020-07-14 22:20:05,29
4,,kernels,meowmeowmeowmeowmeow/nonlinear-regression,Nonlinear regression,Mykola,2018-11-09 17:28:08,4
6,,kernels,dgawlik/house-prices-eda,House Prices EDA,Dominik Gawlik,2017-02-20 10:51:47,513
8,,kernels,faressayah/practical-introduction-to-10-regression-algorithm,Practical Introduction to 10 Regression Algorithm,Fares Sayah,2022-01-20 13:43:02,707
10,,kernels,ibrahimyildiz/salary-predict-with-nonlinear-regression-models,Salary Predict with NonLinear Regression Models,ibrahimyildiz,2020-07-14 07:22:18,14
12,,kernels,cdeotte/support-vector-machine-0-925,Support Vector Machine - [0.925],Chris Deotte,2019-05-20 22:23:22,291
14,,kernels,jesucristo/1-house-prices-solution-top-1,#1 House Prices Solution [top 1%],Nanashi,2019-09-06 08:36:08,600
16,,kernels,prashant111/comprehensive-guide-on-feature-selection,Comprehensive Guide on Feature Selection,Prashant Banerjee,2020-11-18 15:26:57,488
18,,kernels,matleonard/feature-selection,Feature Selection,Mat Leonard,2021-11-09 00:07:43,191
20,,kernels,dvasyukova/a-linear-model-on-apps-and-labels,A linear model on apps and labels,dune_dweller,2016-08-05 10:28:37,197
22,,kernels,shtrausslearning/bayesian-regression-house-price-prediction,Bayesian Regression | House Price Prediction,Andrey Shtrauss,2022-07-16 14:03:59,164
24,,kernels,ryanholbrook/deep-neural-networks,Deep Neural Networks,Ryan Holbrook,2022-05-05 17:51:00,123
26,,kernels,rafjaa/dealing-with-very-small-datasets,Dealing with very small datasets,Rafael Alencar,2019-03-06 19:38:25,256
28,,kernels,pouryaayria/a-complete-ml-pipeline-tutorial-acu-86,A Complete ML Pipeline Tutorial (ACU ~ 86%),PIR,2018-04-14 07:56:14,399
30,,kernels,lalitharajesh/iris-dataset-exploratory-data-analysis,Iris Dataset - Exploratory Data Analysis,Lalitha Rajesh,2018-01-26 11:39:38,89
32,,kernels,arthurtok/interactive-intro-to-dimensionality-reduction,Interactive Intro to Dimensionality Reduction,Anisotropic,2018-09-24 22:53:26,814
34,,kernels,kashnitsky/topic-4-linear-models-part-4-pros-cons,Topic 4. Linear models. Part 4. Pros & cons,Yury Kashnitsky,2021-05-07 09:43:37,102
36,,kernels,farazrahman/predicting-star-galaxy-quasar-with-svm,"""Predicting Star Galaxy & Quasar with SVM""",Faraz Rahman,2018-12-15 08:39:11,59
38,,kernels,mariopasquato/linear-model,Linear model 0.65 in lb,Mario Pasquato,2016-02-02 12:24:36,41
40,,kernels,kashnitsky/topic-4-linear-models-part-3-regularization,Topic 4. Linear models. Part 3. Regularization,Yury Kashnitsky,2021-05-07 09:33:14,109
