,topic,set,ref,title,author,lastRunTime,totalVotes
2,Null-values,kernels,startupsci/titanic-data-science-solutions,Titanic Data Science Solutions,Manav Sehgal,2019-02-11 01:21:23,9434
4,Null-values,kernels,hamdallak/dealing-with-null-values,Dealing with Null Values ,Hamdalla  F. Kareem,2021-09-02 21:57:01,45
6,Null-values,kernels,kanncaa1/data-sciencetutorial-for-beginners,Data ScienceTutorial for Beginners,DATAI,2020-05-19 00:29:44,6250
8,Null-values,kernels,yassineghouzam/introduction-to-cnn-keras-0-997-top-6,Introduction to CNN Keras - 0.997 (top 6%),Yassine Ghouzam,2017-08-18 01:42:23,6458
10,Null-values,kernels,mrisdal/exploring-survival-on-the-titanic,Exploring Survival on the Titanic,Meg Risdal,2017-12-26 19:42:24,3744
12,Null-values,kernels,masumrumi/a-statistical-analysis-ml-workflow-of-titanic,A Statistical Analysis & ML workflow of Titanic,Masum Rumi,2022-04-21 19:25:23,1416
14,Null-values,kernels,ldfreeman3/a-data-science-framework-to-achieve-99-accuracy,A Data Science Framework: To Achieve 99% Accuracy,LD Freeman,2017-12-31 18:27:17,5295
16,Null-values,kernels,residentmario/data-types-and-missing-values,Data Types and Missing Values,Aleksey Bilogur,2022-02-08 16:48:25,540
18,Null-values,kernels,kanncaa1/statistical-learning-tutorial-for-beginners,Statistical Learning Tutorial for Beginners,DATAI,2018-09-09 13:39:20,785
20,Null-values,kernels,dansbecker/getting-started-with-sql-and-bigquery,Getting Started With SQL and BigQuery,DanB,2021-11-09 00:04:04,888
22,Null-values,kernels,ogrellier/feature-selection-with-null-importances,Feature Selection with Null Importances,olivier,2018-06-14 06:44:06,754
24,Null-values,kernels,dheerajmukati/removing-null-values,Removing null values ,Dheeraj Mukati,2022-10-30 16:02:19,19
26,Null-values,kernels,yassineghouzam/titanic-top-4-with-ensemble-modeling,Titanic Top 4% with ensemble modeling,Yassine Ghouzam,2017-08-09 14:34:44,2735
28,Null-values,kernels,kenjee/titanic-project-example,Titanic Project Example,Ken Jee,2021-04-08 02:17:34,871
30,Null-values,kernels,omarelgabry/a-journey-through-titanic,A Journey through Titanic,OMAR ELGABRY,2016-11-15 18:19:03,1399
32,Null-values,kernels,ash316/eda-to-prediction-dietanic,EDA To Prediction(DieTanic),Ashwini Swain,2018-03-08 17:55:32,2555
34,Null-values,kernels,arthurtok/interactive-porto-insights-a-plot-ly-tutorial,Interactive Porto Insights - A Plot.ly Tutorial,Anisotropic,2017-12-13 17:01:57,518
36,Null-values,kernels,fabiendaniel/customer-segmentation,Customer Segmentation,FabienDaniel,2019-03-21 14:19:41,987
38,Null-values,kernels,colinmorris/functions-and-getting-help,Functions and Getting Help,ColinMorris,2021-11-11 14:28:17,2979
40,Null-values,kernels,freespirit08/time-series-for-beginners-with-arima,Time Series For beginners with ARIMA,Arindam Chatterjee,2018-08-24 16:53:34,397
