,topic,set,ref,title,author,lastRunTime,totalVotes
2,Plotly,kernels,kanncaa1/plotly-tutorial-for-beginners,Plotly Tutorial for Beginners,DATAI,2019-10-01 20:59:55,1378
4,Plotly,kernels,hakkisimsek/plotly-tutorial-1,PLOTLY TUTORIAL - 1,Hakki Kaan Simsek,2019-01-13 17:06:49,190
6,Plotly,kernels,kanncaa1/earthquake-animation-with-plotly,Earthquake Animation with Plotly,DATAI,2019-12-08 11:15:26,231
8,Plotly,kernels,residentmario/introduction-to-plotly-optional,Introduction to plotly (Optional),Aleksey Bilogur,2018-03-16 17:57:35,117
10,Plotly,kernels,thebrownviking20/intermediate-visualization-tutorial-using-plotly,Intermediate visualization tutorial using Plotly ,Siddharth Yadav,2020-04-10 08:48:49,259
12,Plotly,kernels,arthurtok/decision-boundaries-visualised-via-python-plotly,Decision Boundaries visualised via Python & Plotly,Anisotropic,2018-09-23 22:23:25,296
14,Plotly,kernels,arthurtok/generation-unemployed-interactive-plotly-visuals,Generation Unemployed? Interactive Plotly Visuals,Anisotropic,2018-10-12 21:57:52,234
16,Plotly,kernels,vincentlugat/lightgbm-plotly,LightGBM + Plotly,Vincent Lugat,2019-04-07 10:20:11,83
18,Plotly,kernels,aashita/guide-to-animated-bubble-charts-using-plotly,Guide to Animated Bubble Charts using Plotly,Aashita Kesarwani,2019-03-25 17:31:27,325
20,Plotly,kernels,kashnitsky/topic-2-part-2-seaborn-and-plotly,Topic 2. Part 2. Seaborn and Plotly,Yury Kashnitsky,2021-05-07 08:36:00,191
