,topic,set,ref,title,author,lastRunTime,totalVotes
2,Python-data-visualization,kernels,jchen2186/data-visualization-with-python-seaborn,Data Visualization with Python Seaborn,Jane,2017-07-30 05:04:25,41
4,Python-data-visualization,kernels,ashfakyeafi/data-visualization-with-python,DATA VISUALIZATION with Python,Ashfak Yeafi,2022-07-01 08:44:57,53
6,Python-data-visualization,kernels,andersonmatias/final-assignment-data-visualization-with-python,Final Assignment - Data Visualization with Python ,"""Anderson Matias PMP""",2020-08-20 08:38:05,9
8,Python-data-visualization,kernels,kanncaa1/data-sciencetutorial-for-beginners,Data ScienceTutorial for Beginners,DATAI,2020-05-19 00:29:44,6250
10,Python-data-visualization,kernels,benhamner/python-data-visualizations,Python Data Visualizations,Ben Hamner,2017-08-29 15:54:22,1383
12,Python-data-visualization,kernels,nathanlauga/vietnam-war-data-visualization-with-python,Vietnam War : Data Visualization with Python,Nathan Lauga,2018-03-05 16:24:47,15
14,Python-data-visualization,kernels,abhishekkrg/python-iris-data-visualization-and-explanation,Python - IRIS Data visualization and explanation,Abhishek Gupta,2018-01-07 12:17:05,7
16,Python-data-visualization,kernels,kanncaa1/feature-selection-and-data-visualization,Feature Selection and Data Visualization,DATAI,2021-07-10 16:05:36,1689
18,Python-data-visualization,kernels,dssant85/tutorial-on-data-visualization-by-python,Tutorial on Data Visualization by Python,Santosh Kumar,2021-03-09 08:19:16,15
20,Python-data-visualization,kernels,kanncaa1/seaborn-tutorial-for-beginners,Seaborn Tutorial for Beginners,DATAI,2020-01-28 17:54:17,1074
22,Python-data-visualization,kernels,tasneemabdulrahim/array-processing-in-python-data-visualization,Array processing in python data visualization.,Tasneem Abdul Rahim,2021-03-07 04:38:28,17
