,topic,set,ref,title,author,lastRunTime,totalVotes
2,Quartile-analysis,kernels,kanncaa1/data-sciencetutorial-for-beginners,Data ScienceTutorial for Beginners,DATAI,2020-05-19 00:29:44,6250
4,Quartile-analysis,kernels,yassineghouzam/titanic-top-4-with-ensemble-modeling,Titanic Top 4% with ensemble modeling,Yassine Ghouzam,2017-08-09 14:34:44,2735
6,Quartile-analysis,kernels,shrutimechlearn/step-by-step-diabetes-classification-knn-detailed,Step by Step Diabetes Classification-KNN-detailed,Shruti_Iyyer,2020-10-31 14:07:34,889
8,Quartile-analysis,kernels,henriqueyamahata/bank-marketing-classification-roc-f1-recall,"""Bank Marketing + Classification + ROC",F1,"RECALL...""",Henrique Yamahata
10,Quartile-analysis,kernels,kanncaa1/dataiteam-titanic-eda,DataiTeam Titanic EDA,DATAI,2020-05-25 20:16:52,314
12,Quartile-analysis,kernels,randylaosat/predicting-employee-kernelover,Predicting Employee Kernelover,randy lao,2018-01-05 03:42:27,510
14,Quartile-analysis,kernels,janiobachmann/credit-fraud-dealing-with-imbalanced-datasets,Credit Fraud  || Dealing with Imbalanced Datasets,Janio Martinez Bachmann,2019-07-03 23:04:48,4312
16,Quartile-analysis,kernels,sudalairajkumar/where-do-people-learn-ml-ds,Where do People learn ML / DS?,SRK,2018-12-04 15:42:17,335
18,Quartile-analysis,kernels,nareshbhat/outlier-the-silent-killer,Outlier!!! The Silent Killer,Naresha Bhat,2021-08-30 07:18:27,746
20,Quartile-analysis,kernels,durgancegaur/a-guide-to-any-classification-problem,A Guide to any Classification Problem,Durgance Gaur,2022-02-15 19:13:48,275
