,topic,set,ref,title,author,lastRunTime,totalVotes
2,R-data-visualization,kernels,antoniolopez/iris-data-visualization-with-r,Iris data visualization with R,Antonio Lopez,2017-10-27 02:43:15,36
4,R-data-visualization,kernels,xingobar/data-visualization-with-r,Data Visualization with R,Gary Ng,2016-11-09 10:53:37,14
6,R-data-visualization,kernels,muslump/data-visualization-with-r,Data Visualization with R,Muslum Polat,2020-12-28 13:26:30,16
8,R-data-visualization,kernels,mrisdal/exploring-survival-on-the-titanic,Exploring Survival on the Titanic,Meg Risdal,2017-12-26 19:42:24,3744
10,R-data-visualization,kernels,jessemostipak/dive-into-dplyr-tutorial-1,Dive into dplyr (tutorial #1),Jesse Mostipak,2020-10-14 15:40:50,1915
12,R-data-visualization,kernels,rtatman/getting-started-in-r-first-steps,Getting staRted in R: First Steps,Rachael Tatman,2017-12-01 21:49:24,2288
14,R-data-visualization,kernels,kanncaa1/data-sciencetutorial-for-beginners,Data ScienceTutorial for Beginners,DATAI,2020-05-19 00:29:44,6250
16,R-data-visualization,kernels,ldfreeman3/a-data-science-framework-to-achieve-99-accuracy,A Data Science Framework: To Achieve 99% Accuracy,LD Freeman,2017-12-31 18:27:17,5295
18,R-data-visualization,kernels,kanncaa1/seaborn-tutorial-for-beginners,Seaborn Tutorial for Beginners,DATAI,2020-01-28 17:54:17,1074
20,R-data-visualization,kernels,xvivancos/market-basket-analysis,Market Basket Analysis ,Xavier,2022-12-04 12:55:54,612
22,R-data-visualization,kernels,hiteshp/head-start-for-data-scientist,Head Start for Data Scientist,Hitesh palamada,2018-09-02 18:36:19,1091
24,R-data-visualization,kernels,shivamb/data-science-glossary-on-kaggle,Data Science Glossary on Kaggle,Shivam Bansal,2018-12-10 09:47:14,2141
26,R-data-visualization,kernels,erikbruin/house-prices-lasso-xgboost-and-a-detailed-eda,"""House prices: Lasso XGBoost and a detailed EDA""",Erik Bruin,2018-05-10 06:33:09,1477
28,R-data-visualization,kernels,benroshan/part-4-data-visualization-with-r,Part 4:Data Visualization with R,Ben Roshan ,2020-05-18 13:27:25,10
30,R-data-visualization,kernels,kushal1996/customer-segmentation-k-means-analysis,Customer Segmentation (K-Means) | Analysis,Kushal Mahindrakar,2022-10-11 13:29:58,897
32,R-data-visualization,kernels,kanncaa1/plotly-tutorial-for-beginners,Plotly Tutorial for Beginners,DATAI,2019-10-01 20:59:55,1378
34,R-data-visualization,kernels,imdevskp/covid-19-analysis-visualization-comparisons,"""COVID-19 - Analysis Visualization & Comparisons""",Devakumar K. P.,2020-06-19 15:51:01,1779
36,R-data-visualization,kernels,,[Private Notebook],,2010-04-01 00:00:00,0
38,R-data-visualization,kernels,davids1992/speech-representation-and-data-exploration,Speech representation and data exploration,DavidS,2017-12-11 21:17:15,1035
40,R-data-visualization,kernels,thykhuely/mercari-interactive-eda-topic-modelling,Mercari Interactive EDA + Topic Modelling,ThyKhueLy,2018-04-22 08:23:34,915
