,topic,set,ref,title,author,lastRunTime,totalVotes
2,Rest-API,kernels,rtatman/careercon-intro-to-apis,CareerCon: Intro to APIs,Rachael Tatman,2019-04-18 04:43:42,240
4,Rest-API,kernels,yassineghouzam/introduction-to-cnn-keras-0-997-top-6,Introduction to CNN Keras - 0.997 (top 6%),Yassine Ghouzam,2017-08-18 01:42:23,6458
6,Rest-API,kernels,nonserial/covid19-prediction-with-restcountries-eu-api-data,COVID19: prediction with restcountries.eu API data,Nonserial,2020-03-25 20:54:04,21
8,Rest-API,kernels,rohanrao/tutorial-on-reading-large-datasets,Tutorial on reading large datasets,Vopani,2020-12-14 17:13:08,1371
10,Rest-API,kernels,dansbecker/order-by,Order By,DanB,2021-11-09 00:03:36,225
12,Rest-API,kernels,rtatman/sql-scavenger-hunt-handbook,SQL Scavenger Hunt Handbook,Rachael Tatman,2018-02-21 00:54:05,471
14,Rest-API,kernels,dansbecker/as-with,As & With,DanB,2021-11-09 00:03:47,220
16,Rest-API,kernels,sohier/beyond-queries-exploring-the-bigquery-api,Beyond Queries: Exploring the BigQuery API,Sohier Dane,2018-02-15 20:20:37,111
18,Rest-API,kernels,residentmario/univariate-plotting-with-pandas,Univariate plotting with pandas,Aleksey Bilogur,2018-09-19 21:30:13,624
20,Rest-API,kernels,ndrewgele/visualizing-pok-mon-stats-with-seaborn,Visualizing Pokémon Stats with Seaborn,Andrew Gelé,2016-08-30 18:29:25,221
22,Rest-API,kernels,xvivancos/tutorial-getting-data-from-twitter,Tutorial: Getting Data from Twitter,Xavier,2019-12-01 14:18:29,125
24,Rest-API,kernels,chumajin/easy-to-understand-the-competition,Easy to understand the competition,chumajin,2022-04-27 11:16:40,516
26,Rest-API,kernels,artgor/quick-and-dirty-regression,Quick and dirty regression,Andrew Lukyanenko,2019-11-21 15:10:59,627
28,Rest-API,kernels,ldfreeman3/a-data-science-framework-to-achieve-99-accuracy,A Data Science Framework: To Achieve 99% Accuracy,LD Freeman,2017-12-31 18:27:17,5295
30,Rest-API,kernels,elcaiseri/mnist-simple-cnn-keras-accuracy-0-99-top-1,MNIST: Simple CNN keras (Accuracy : 0.99)=>Top 1%,Kassem,2022-03-20 12:10:49,184
32,Rest-API,kernels,init27/fastai-v3-lesson-2,FastAI (v3): Lesson 2,Sanyam Bhutani,2019-02-06 05:38:41,154
34,Rest-API,kernels,jagangupta/time-series-basics-exploring-traditional-ts,Time series Basics : Exploring traditional TS ,Jagan,2018-03-02 18:21:54,1776
36,Rest-API,kernels,rtatman/careercon-making-an-app-from-your-modeling-code,CareerCon: Making an app from your modeling code,Rachael Tatman,2019-04-18 04:35:44,86
38,Rest-API,kernels,amadeus1996/fruits-360-transfer-learning-using-keras,Fruits-360 - Transfer Learning using Keras,IS,2018-06-08 06:04:35,79
40,Rest-API,kernels,maheshdadhich/strength-of-visualization-python-visuals-tutorial,Strength of visualization-python visuals tutorial,BuryBuryZymon,2017-09-17 13:33:16,597
