,topic,set,ref,title,author,lastRunTime,totalVotes
2,Seaborn,kernels,alexisbcook/hello-seaborn,"""Hello Seaborn""",Alexis Cook,2022-06-09 00:35:16,734
4,Seaborn,kernels,kanncaa1/seaborn-tutorial-for-beginners,Seaborn Tutorial for Beginners,DATAI,2020-01-28 17:54:17,1074
6,Seaborn,kernels,residentmario/plotting-with-seaborn,Plotting with seaborn,Aleksey Bilogur,2018-09-19 21:36:58,305
8,Seaborn,kernels,residentmario/faceting-with-seaborn,Faceting with seaborn,Aleksey Bilogur,2018-04-16 22:20:52,195
10,Seaborn,kernels,saurav9786/seaborn-tutorial,Seaborn Tutorial ,Saurav Anand,2022-07-23 16:01:35,120
12,Seaborn,kernels,themlphdstudent/cheat-sheet-seaborn-charts,Cheat Sheet: Seaborn Charts,The ML PhD Student,2021-01-26 06:02:08,235
14,Seaborn,kernels,kralmachine/seaborn-tutorial-for-beginners,Seaborn Tutorial  For Beginners,KraLMachine,2019-08-24 06:38:23,243
16,Seaborn,kernels,ndrewgele/visualizing-pok-mon-stats-with-seaborn,Visualizing Pokémon Stats with Seaborn,Andrew Gelé,2016-08-30 18:29:25,221
18,Seaborn,kernels,jsaguiar/exploratory-analysis-with-seaborn,Exploratory Analysis with Seaborn,Aguiar,2018-10-13 21:43:37,117
20,Seaborn,kernels,,[Private Notebook],,2010-04-01 00:00:00,0
22,Seaborn,kernels,kashnitsky/topic-2-part-2-seaborn-and-plotly,Topic 2. Part 2. Seaborn and Plotly,Yury Kashnitsky,2021-05-07 08:36:00,191
24,Seaborn,kernels,dejavu23/titanic-survival-seaborn-and-ensembles,Titanic Survival: Seaborn and Ensembles,deja vu,2019-07-29 10:06:07,138
26,Seaborn,kernels,alexisbcook/exercise-hello-seaborn,"""Exercise: Hello Seaborn""",Alexis Cook,2022-01-13 21:17:13,4
28,Seaborn,kernels,neilslab/seaborn-visualization,Seaborn Visualization,NeilS,2017-06-24 17:45:48,45
30,Seaborn,kernels,prashant111/seaborn-tutorial-for-beginners,Seaborn tutorial for beginners,Prashant Banerjee,2019-12-30 08:22:08,114
32,Seaborn,kernels,ravichaubey1506/hands-on-complete-data-visualization-with-seaborn,Hands-On Complete Data Visualization with Seaborn,Ravi Chaubey,2022-02-15 15:48:35,180
