,topic,set,ref,title,author,lastRunTime,totalVotes
2,Simple-linear-regression,kernels,vivinbarath/simple-linear-regression-for-salary-data,Simple Linear Regression for Salary Data,Barath ,2020-02-19 17:22:58,181
4,Simple-linear-regression,kernels,ashydv/sales-prediction-simple-linear-regression,Sales Prediction (Simple Linear Regression),Ashish,2019-03-07 06:21:44,103
6,Simple-linear-regression,kernels,rbyron/simple-linear-regression-models,Simple linear regression models,Rocío Ventura,2018-03-30 10:28:21,70
8,Simple-linear-regression,kernels,mayanksrivastava/predict-housing-prices-simple-linear-regression,Predict Housing Prices - Simple Linear Regression,Mayank Srivastava,2017-06-09 22:06:27,75
10,Simple-linear-regression,kernels,tunguz/simple-linear-regression-benchmark,Simple Linear Regression Benchmark,Bojan Tunguz,2019-12-01 13:42:13,90
12,Simple-linear-regression,kernels,ariadne/simple-one-feature-linear-regression,Simple One Feature Linear Regression,Ariadne,2017-05-18 20:27:06,69
14,Simple-linear-regression,kernels,amitdhakre13/simple-linear-regression-in-r,Simple Linear Regression in R ,zohan,2017-10-27 10:43:13,49
16,Simple-linear-regression,kernels,sandhyakrishnan02/simple-linear-regression-salary-vs-experience,Simple Linear Regression - Salary Vs Experience,SandhyaKrishnan02,2022-12-14 15:05:19,69
18,Simple-linear-regression,kernels,redwankarimsony/simple-linear-regression-for-beginners,Simple Linear Regression for Beginners,Md. Redwan Karim Sony,2021-06-28 03:37:48,34
20,Simple-linear-regression,kernels,nicapotato/in-depth-simple-linear-regression,In-Depth Simple Linear Regression,nicapotato,2018-07-16 13:58:58,38
22,Simple-linear-regression,kernels,devzohaib/simple-linear-regression,Simple-Linear-Regression,devzohaib,2020-11-23 18:36:48,11
24,Simple-linear-regression,kernels,startupsci/titanic-data-science-solutions,Titanic Data Science Solutions,Manav Sehgal,2019-02-11 01:21:23,9434
26,Simple-linear-regression,kernels,codefordata/headbrain-simple-linear-regression,Headbrain-simple linear regression.,Codefordata,2019-03-03 20:24:41,10
28,Simple-linear-regression,kernels,serigne/stacked-regressions-top-4-on-leaderboard,Stacked Regressions : Top 4% on LeaderBoard,Serigne ,2017-12-16 11:57:12,6777
30,Simple-linear-regression,kernels,luddarell/tutorial-simple-multiple-linear-regression,(Tutorial) Simple & Multiple Linear Regression,Ludgerus Darell,2019-03-17 10:11:42,15
32,Simple-linear-regression,kernels,venjktry/simple-linear-regression,Simple Linear Regression,Venkatesh S,2017-07-18 10:55:37,6
34,Simple-linear-regression,kernels,paulorzp/simple-rolling-linear-regression-no-leakage,Simple Rolling Linear Regression (no leakage),Paulo Pinto,2022-06-11 04:08:40,23
36,Simple-linear-regression,kernels,igorkf/ubiquant-simple-linear-regression-baseline,Ubiquant - Simple Linear Regression baseline,Igor Kuivjogi Fernandes,2022-01-31 20:10:10,24
38,Simple-linear-regression,kernels,paulrohan2020/eda-and-simple-linear-regression-for-house-price,EDA-and-simple Linear Regression-for-House-Price,Data Storm,2022-04-19 12:23:30,41
40,Simple-linear-regression,kernels,monkeyorman/simple-linear-regression-in-r-0-0648835,Simple Linear Regression in R (0.0648835),JT,2017-07-09 15:26:04,21
