,topic,set,ref,title,author,lastRunTime,totalVotes
2,,kernels,rtatman/data-cleaning-challenge-handling-missing-values,Data Cleaning Challenge: Handling missing values,Rachael Tatman,2018-03-30 21:18:56,1272
4,,kernels,rtatman/data-cleaning-challenge-scale-and-normalize-data,Data Cleaning Challenge: Scale and Normalize Data,Rachael Tatman,2018-03-30 21:18:36,556
6,,kernels,rtatman/data-cleaning-challenge-parsing-dates,Data Cleaning Challenge: Parsing Dates,Rachael Tatman,2018-03-30 21:17:59,251
8,,kernels,rtatman/data-cleaning-challenge-inconsistent-data-entry,Data Cleaning Challenge: Inconsistent Data Entry,Rachael Tatman,2018-03-30 21:14:30,189
10,,kernels,rtatman/data-cleaning-challenge-character-encodings,Data Cleaning Challenge: Character Encodings,Rachael Tatman,2018-03-30 21:17:02,180
12,,kernels,rtatman/data-cleaning-challenge-outliers,Data Cleaning Challenge: Outliers,Rachael Tatman,2019-01-14 20:56:00,81
14,,kernels,rtatman/data-cleaning-challenge-json-txt-and-xls,"""Data Cleaning Challenge: .json .txt and .xls""",Rachael Tatman,2019-01-14 20:55:43,114
16,,kernels,reighns/augmentations-data-cleaning-and-bounding-boxes,"""Augmentations Data Cleaning and Bounding Boxes""",Hongnan G,2020-08-02 07:47:25,296
18,,kernels,rtatman/data-cleaning-challenge-deduplication,Data Cleaning Challenge: Deduplication,Rachael Tatman,2019-01-14 20:56:34,55
20,,kernels,chadalee/olympics-data-cleaning-exploration-prediction,"""Olympics Data- Cleaning Exploration Prediction""",sagar chadha,2018-08-27 14:19:49,88
22,,kernels,fedi1996/house-prices-data-cleaning-viz-and-modeling,"""House Prices : Data cleaning viz and modeling """,Fedi Ben Messaoud,2021-07-14 10:10:51,288
24,,kernels,rtatman/data-cleaning-challenge-cleaning-numeric-columns,Data Cleaning Challenge: Cleaning numeric columns,Rachael Tatman,2019-01-14 20:56:41,42
26,,kernels,rtatman/data-cleaning-challenge-imputing-missing-values,Data Cleaning Challenge: Imputing missing values,Rachael Tatman,2019-01-14 20:55:18,65
28,,kernels,ragnisah/text-data-cleaning-tweets-analysis,Text Data Cleaning - tweets analysis,Rageeni Sah,2018-10-11 17:31:15,84
30,,kernels,code1110/houseprice-data-cleaning-visualization,HousePrice - data cleaning & visualization,katsu1110,2017-12-26 08:37:22,69
32,,kernels,jhoward/cleaning-the-data-for-rapid-prototyping-fastai,Cleaning the data for rapid prototyping (fastai),Jeremy Howard,2019-10-24 18:27:51,163
34,,kernels,danielson/cleaning-up-market-data-errors-and-stock-splits,Cleaning Up Market Data Errors (and Stock Splits),danielson,2018-11-14 19:13:26,132
36,,kernels,suddhu/cleaning-data-eda,Cleaning Data + EDA,sudhar287,2018-12-31 22:42:42,39
38,,kernels,sabasiddiqi/google-play-store-apps-data-cleaning,Google Play Store Apps - Data Cleaning,Saba Siddiqi,2018-09-28 17:01:18,67
40,,kernels,milankalkenings/comprehensive-tutorial-data-cleaning,Comprehensive Tutorial: Data Cleaning,Milan Kalkenings,2021-05-04 13:33:18,48
