,topic,set,ref,title,author,lastRunTime,totalVotes
2,data-transformation,kernels,pmarcelino/comprehensive-data-exploration-with-python,Comprehensive data exploration with Python,"""Pedro Marcelino"," PhD""",2022-04-30 19:20:37
4,data-transformation,kernels,serigne/stacked-regressions-top-4-on-leaderboard,Stacked Regressions : Top 4% on LeaderBoard,Serigne ,2017-12-16 11:57:12,6776
6,data-transformation,kernels,saumyadeepm/data-transformation-titanic-dataset,Data Transformation | Titanic Dataset,saumyadeepmitra,2022-11-18 20:18:50,13
8,data-transformation,kernels,rtatman/data-cleaning-challenge-scale-and-normalize-data,Data Cleaning Challenge: Scale and Normalize Data,Rachael Tatman,2018-03-30 21:18:36,556
10,data-transformation,kernels,weikai/data-exploration-transformation-ridge-lasso,Data exploration & transformation. Ridge & LASSO.,Weikai Mao,2019-05-21 10:52:17,7
12,data-transformation,kernels,arthurtok/interactive-intro-to-dimensionality-reduction,Interactive Intro to Dimensionality Reduction,Anisotropic,2018-09-24 22:53:26,814
14,data-transformation,kernels,freespirit08/time-series-for-beginners-with-arima,Time Series For beginners with ARIMA,Arindam Chatterjee,2018-08-24 16:53:34,397
16,data-transformation,kernels,dgawlik/house-prices-eda,House Prices EDA,Dominik Gawlik,2017-02-20 10:51:47,513
18,data-transformation,kernels,residentmario/exercise-summary-functions-and-maps,Exercise: Summary Functions and Maps,Aleksey Bilogur,2022-02-08 16:43:13,76
20,data-transformation,kernels,nroman/melanoma-pytorch-starter-efficientnet,Melanoma. Pytorch starter. EfficientNet,Roman,2020-08-04 20:37:41,435
22,data-transformation,kernels,nareshbhat/outlier-the-silent-killer,Outlier!!! The Silent Killer,Naresha Bhat,2021-08-30 07:18:27,747
24,data-transformation,kernels,saga21/covid-global-forecast-sir-model-ml-regressions,COVID Global Forecast: SIR model + ML regressions,Patrick Sánchez,2020-04-16 10:40:17,787
26,data-transformation,kernels,ankurrezo/data-cleaning-and-transformation-enron-email,Data Cleaning and Transformation Enron email,Ankur Kumar,2021-01-25 13:08:30,4
28,data-transformation,kernels,yassineghouzam/introduction-to-cnn-keras-0-997-top-6,Introduction to CNN Keras - 0.997 (top 6%),Yassine Ghouzam,2017-08-18 01:42:23,6457
30,data-transformation,kernels,lavanyashukla01/how-i-made-top-0-3-on-a-kaggle-competition,How I made top 0.3% on a Kaggle competition,Lavanya Shukla,2019-06-09 21:10:44,981
32,data-transformation,kernels,abhianalytic/amex-read-full-data-without-any-transformation,AmEx : Read full data without any transformation,AbhishekKumar,2022-06-13 13:32:17,13
34,data-transformation,kernels,sudhirnl7/linear-regression-tutorial,Linear Regression Tutorial,Sudhir Kumar,2020-04-04 14:56:45,357
36,data-transformation,kernels,janiobachmann/credit-fraud-dealing-with-imbalanced-datasets,Credit Fraud  || Dealing with Imbalanced Datasets,Janio Martinez Bachmann,2019-07-03 23:04:48,4308
38,data-transformation,kernels,burhanykiyakoglu/predicting-house-prices,Predicting House Prices,Burhan Y. Kiyakoglu,2019-05-23 20:33:09,870
40,data-transformation,kernels,martinpiotte/bounding-box-model,Bounding Box Model,Martin Piotte,2018-06-29 23:52:43,241
