,topic,set,ref,title,author,lastRunTime,totalVotes
2,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,ravichaubey1506/inferential-statistical-analysis-on-diabetes-data,Inferential Statistical Analysis on Diabetes Data,Ravi Chaubey,2022-02-16 14:34:55,118
4,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,shreyasajal/inferential-statistics-on-heart-attack-analysis,Inferential Statistics on Heart Attack Analysis ,Shreya Sajal,2021-04-09 03:25:43,53
6,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,saurav9786/cardiogoodfitness-descriptive-statistics,CardioGoodFitness - Descriptive Statistics,Saurav Anand,2022-11-02 09:57:50,61
8,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,ldfreeman3/a-data-science-framework-to-achieve-99-accuracy,A Data Science Framework: To Achieve 99% Accuracy,LD Freeman,2017-12-31 18:27:17,5294
10,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,ekrembayar/a-b-testing-step-by-step-hypothesis-testing,A/B Testing: Step by Step & Hypothesis Testing,Ekrem Bayar,2021-11-30 12:54:32,189
12,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,ravichaubey1506/multivariate-statistical-analysis-on-diabetes,Multivariate Statistical Analysis on Diabetes,Ravi Chaubey,2020-08-10 13:49:52,117
14,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,,[Private Notebook],,2010-04-01 00:00:00,0
16,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,suzanaiacob/inferential-analysis-of-toothgrowth-in-guineapigs,Inferential Analysis of ToothGrowth in GuineaPigs,Suzana Iacob,2018-11-15 21:24:42,11
18,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,ravichaubey1506/machine-learning-predictive-modeling-analytics,Machine Learning & Predictive Modeling Analytics,Ravi Chaubey,2020-04-16 11:49:38,120
20,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,hamelg/python-for-data-analysis-index,Python for Data Analysis: Index,Greg Hamel,2020-09-29 02:39:06,96
22,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,ravichaubey1506/univariate-statistical-analysis-on-diabetes,Univariate Statistical Analysis on Diabetes,Ravi Chaubey,2020-05-06 07:10:12,97
24,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,,[Private Notebook],,2010-04-01 00:00:00,0
26,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,gleissonbispo/inferential-statistics-nba-salaries-analysis,Inferential Statistics - NBA Salaries Analysis,Gleisson Bispo,2019-05-06 20:16:38,2
28,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,yashvi/practical-statistics-1-descriptive-statistics,Practical Statistics - 1 (Descriptive Statistics),Yashvi Patel,2020-07-27 12:09:28,62
30,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,tsilveira/inferential-statistics-and-hypothesis-testing,Inferential statistics  and hypothesis testing,TSilveira,2018-07-13 04:02:39,31
32,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,knightbearr/regression-taxi-trip-duration-knightbearr,Regression: Taxi Trip Duration (Knightbearr),Knightbearr,2021-12-31 19:59:53,17
34,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,knightbearr/analysis-shopping-cart-data-knightbearr,Analysis: Shopping Cart Data (Knightbearr),Knightbearr,2022-11-20 06:46:51,66
36,'charmap' codec can't encode characters in position 53-54: character maps to <undefined>,kernels,mgmarques/wines-type-and-quality-classification-exercises,Wines Type and Quality Classification Exercises,Marcelo Marques,2018-10-24 21:58:53,80
