,topic,set,ref,title,author,lastRunTime,totalVotes
2,'charmap' codec can't encode character '\U0001f920' in position 53: character maps to <undefined>,kernels,aharless/xgb-w-o-outliers-lgb-with-outliers-combined,XGB w/o outliers & LGB with outliers combined,Andy Harless,2017-07-18 02:21:21,96
4,'charmap' codec can't encode character '\U0001f920' in position 53: character maps to <undefined>,kernels,rtatman/data-cleaning-challenge-outliers,Data Cleaning Challenge: Outliers,Rachael Tatman,2019-01-14 20:56:00,81
6,'charmap' codec can't encode character '\U0001f920' in position 53: character maps to <undefined>,kernels,mindcool/unrolling-of-helices-outliers-removal,Unrolling of helices + outliers removal,Luis,2018-07-19 17:32:14,190
8,'charmap' codec can't encode character '\U0001f920' in position 53: character maps to <undefined>,kernels,junjitakeshima/ubiquant-simple-lgbm-removing-outliers-en-jp,[Ubiquant] Simple LGBM removing Outliers (En/Jp),Junji Takeshima,2022-02-23 07:20:06,101
10,'charmap' codec can't encode character '\U0001f920' in position 53: character maps to <undefined>,kernels,sudalairajkumar/rainfall-test,Beware of Outliers !!,SRK,2015-09-18 01:38:17,45
12,'charmap' codec can't encode character '\U0001f920' in position 53: character maps to <undefined>,kernels,miklgr500/ghost-drift-and-outliers,"""""""Ghost"""" drift and Outliers""",Welf Crozzo,2020-04-12 06:25:26,63
14,'charmap' codec can't encode character '\U0001f920' in position 53: character maps to <undefined>,kernels,ramjib/cassava-leaf-disease-eda-and-outliers,Cassava Leaf Disease: EDA and Outliers,Ram (ji),2021-10-13 05:57:32,67
16,'charmap' codec can't encode character '\U0001f920' in position 53: character maps to <undefined>,kernels,janiobachmann/credit-fraud-dealing-with-imbalanced-datasets,Credit Fraud  || Dealing with Imbalanced Datasets,Janio Martinez Bachmann,2019-07-03 23:04:48,4308
18,'charmap' codec can't encode character '\U0001f920' in position 53: character maps to <undefined>,kernels,serigne/stacked-regressions-top-4-on-leaderboard,Stacked Regressions : Top 4% on LeaderBoard,Serigne ,2017-12-16 11:57:12,6776
20,'charmap' codec can't encode character '\U0001f920' in position 53: character maps to <undefined>,kernels,pmarcelino/comprehensive-data-exploration-with-python,Comprehensive data exploration with Python,"""Pedro Marcelino PhD""",2022-04-30 19:20:37,12859
22,'charmap' codec can't encode character '\U0001f920' in position 53: character maps to <undefined>,kernels,tilii7/you-want-outliers-we-got-them-outliers,You want outliers? We got them outliers!,Tilii,2017-07-04 07:08:36,48
24,'charmap' codec can't encode character '\U0001f920' in position 53: character maps to <undefined>,kernels,javigallego/outliers-eda-clustering-tutorial,Outliers+EDA+Clustering Tutorial,Francisco Javier Gallego,2022-09-29 19:18:43,79
26,'charmap' codec can't encode character '\U0001f920' in position 53: character maps to <undefined>,kernels,kingychiu/home-credit-eda-distributions-and-outliers,Home Credit EDA: Distributions and Outliers,nlgn,2018-05-24 18:04:15,55
