,topic,set,ref,title,author,lastRunTime,totalVotes
2,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,dansbecker/explore-your-data,Explore Your Data,DanB,2019-01-23 01:07:33,1330
4,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,dansbecker/basic-data-exploration,Basic Data Exploration,DanB,2021-11-09 00:01:19,1552
6,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,startupsci/titanic-data-science-solutions,Titanic Data Science Solutions,Manav Sehgal,2019-02-11 01:21:23,9431
8,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,artgor/eda-feature-engineering-and-everything,"""EDA feature engineering and everything""",Andrew Lukyanenko,2019-02-21 18:49:15,987
10,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,pmarcelino/comprehensive-data-exploration-with-python,Comprehensive data exploration with Python,"""Pedro Marcelino PhD""",2022-04-30 19:20:37,12859
12,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,nareshbhat/outlier-the-silent-killer,Outlier!!! The Silent Killer,Naresha Bhat,2021-08-30 07:18:27,747
14,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,jiashenliu/introduction-to-financial-concepts-and-data,Introduction to financial concepts and data,Jiashen Liu,2021-07-01 09:52:48,936
16,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,cdeotte/25-million-images-0-99757-mnist,25 Million Images! [0.99757] MNIST,Chris Deotte,2021-08-29 19:32:05,707
18,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,lucamassaron/eda-target-analysis,EDA- target analysis,Luca Massaron,2022-01-27 10:51:04,394
20,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,kashnitsky/a1-demo-pandas-and-uci-adult-dataset,A1 (demo). Pandas and UCI adult dataset,Yury Kashnitsky,2018-10-07 11:33:36,323
22,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,gpreda/santander-eda-and-prediction,Santander EDA and Prediction,Gabriel Preda,2019-04-03 16:47:19,1217
24,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,rtatman/getting-started-in-r-summarize-data,Getting staRted in R: Summarize Data,Rachael Tatman,2017-08-31 20:26:58,146
26,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,freespirit08/time-series-for-beginners-with-arima,Time Series For beginners with ARIMA,Arindam Chatterjee,2018-08-24 16:53:34,397
28,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,roydatascience/eda-pca-simple-lgbm-on-kfold-technique,"""EDA PCA + Simple LGBM on KFold Technique""",Ashish Gupta,2019-03-20 18:23:40,186
30,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,kanncaa1/statistical-learning-tutorial-for-beginners,Statistical Learning Tutorial for Beginners,DATAI,2018-09-09 13:39:20,785
32,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,carlolepelaars/statistics-tutorial,Statistics Tutorial,Carlo Lepelaars,2019-06-05 17:43:33,247
34,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,kanncaa1/feature-selection-and-data-visualization,Feature Selection and Data Visualization,DATAI,2021-07-10 16:05:36,1689
36,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,yassineghouzam/titanic-top-4-with-ensemble-modeling,Titanic Top 4% with ensemble modeling,Yassine Ghouzam,2017-08-09 14:34:44,2734
38,'charmap' codec can't encode character '\U0001f4ca' in position 55: character maps to <undefined>,kernels,spscientist/student-performance-in-exams,Student Performance In Exams,Jakki Seshapanpu,2018-12-24 18:15:12,339
