,type,etag,videoURL,publishedAt,channelURL,videoTitle,descriptionVideo,videoCoverURL,channelTitle,snippet.defaultLanguage,audioLanguage,duration
0,youtube video,edALSv-jVlacqvGhhJn9B1AefL0,youtu.be/D-J92fjOgVA,2023-01-17T07:24:15Z,youtu.be/D-J92fjOgVA,Cost Accounting Vs Financial Accounting | Meaning and Comparison,"In this video we have discussed the differences between cost accounting and financial accounting. The video starts with explaining the meaning of cost accounting along with its objective. As you proceed further you will get to know the meaning of financial accounting and its objective. 

Plus, the video sums up the difference between the two using a comparison chart.

For further reading, visit this link: 
https://keydifferences.com/difference-between-cost-accounting-and-financial-accounting.html

#CostVsFinancialAccounting #CostAccounting #FinancialAccounting #Accounting #MeaningOfCostAccounting #MeaningOfFinancialAccounting  #DifferenceBetweenCostAccountingAndFinancialAccounting #CostAccountingAndFinancialAccounting #WhatisCostAccounting #WhatisFinancialAccounting #ObjectivesOfCostAccounting #ObjectivesOfFinancialAccounting",https://i.ytimg.com/vi/D-J92fjOgVA/hqdefault.jpg,Key Differences,en,en,PT6M27S
1,youtube video,2Qcb-YcOpReguIdyBUVl1fL3W7c,youtu.be/R1PFY_KkY1g,2022-12-27T10:55:01Z,youtu.be/R1PFY_KkY1g,What is Auditing? | Who is an Auditor? | Objectives of Auditing,"In this video, we have explained the meaning of auditing and its need in layman language. Further, you will find the features of auditing. Next, you will get to know the meaning of an auditor. At the end of this video we have explained the objectives of auditing.

Basically, audit is the financial investigation conducted by an auditor - internal or external, to find out whether they are accurate and free from any material misstatements. After the completion of the audit, auditor gives an opinion on the truthfulness and fairness of the financial statements. 

#Auditing #ObjectivesofAuditing #Audit #Auditor #FeaturesofAuditing #AuditinginBusiness #MeaningofAuditing #MeaningofAuditor #WhatisAuditing #WhatisAuditor",https://i.ytimg.com/vi/R1PFY_KkY1g/hqdefault.jpg,Key Differences,en,en,PT6M6S
2,youtube video,ZRGmY45KnF-BC4ancNs8NucVQLg,youtu.be/eFD885WFnG4,2022-11-19T14:27:22Z,youtu.be/eFD885WFnG4,"What is Job Analysis? | Meaning, Process and Methods of Data Collection","This video will tell you about the meaning of Job Analysis in a very elaborated manner. At first, we have explained the meaning of job, then we proceed to explain the concept of job analysis along with its key elements and the outcome, i.e. Job Desctiption and Job Specification.

Thereafter we have explained the process of job analysis and the methods of data collection for job analysis.

#JobAnalysis #ProcessofJobAnalysis #MeaningofJobAnalysis #DataCollectionMethods #JobAnalysisInHRM",https://i.ytimg.com/vi/eFD885WFnG4/hqdefault.jpg,Key Differences,,en,PT9M8S
3,youtube video,RHdIYeVX3cTD10jE5wko0hOQ2R4,youtu.be/4Gfoqg8a7h4,2023-01-25T07:23:50Z,youtu.be/4Gfoqg8a7h4,Salary Vs Wages | Difference between them with Examples,"In this video, first of all we have explained the term 'salary' in detail. We have also covered the explanation of salary slip provided by the companies. Next, you will find the meaning of term 'wages' in an elaborated way. Also, we have explained the different system of wage payments.

The video ends with explaining the difference between salary and wages using a comparison chart.

For further reading, visit this link: 
https://keydifferences.com/difference-between-salary-and-wages.html

#SalaryVsWages #Salary #Wages #DifferenceBetweenSalaryAndWages #MeaningOfWages #MeaningOfWages #SalarySlip #SystemOfWagePayment #WhatIsSalary #WhatAreWages #SalarySlipFormat #DifferenceBetweenSalaryAndWagesinHRM",https://i.ytimg.com/vi/4Gfoqg8a7h4/hqdefault.jpg,Key Differences,en,en,PT6M32S
4,youtube video,KVWnlIypb8WWVWHMLurooac2kn4,youtu.be/dFTG3ohAcso,2018-11-12T10:42:43Z,youtu.be/dFTG3ohAcso,PERT Vs CPM: Difference between them with definition & Comparison Chart,"This video tutorial explains you the difference between Project Evaluation and Review Technique (PERT) and Critical Path Method (CPM). Further in this video, we have also discussed the definition of PERT along with its chart. 

Likewise CPM is explained here. the video ends with a comparison chart which explains the difference between the two.

To study the topic further in detail, visit our official website:-
https://keydifferences.com/difference-between-pert-and-cpm.html",https://i.ytimg.com/vi/dFTG3ohAcso/hqdefault.jpg,Key Differences,,en,PT5M52S
5,youtube video,Y49Ya-bUleEPpwQJLx_gH9e50Yk,youtu.be/zSyICkGZ6iM,2019-04-04T11:21:52Z,youtu.be/zSyICkGZ6iM,Quality Assurance Vs Quality Control: Difference between them with definition and comparison chart,"In this video lecture you will find the differences between quality assurance and quality control. Further, we have also explained the meaning of quality assurance in a detailed manner along with its principles. 

In the same way, quality control is explained. At the end of this video, you will find a comparison chart, that demonstrates the differences between these two.

To study the topic further in detail, visit our official website: https://keydifferences.com/difference-between-quality-assurance-and-quality-control.html",https://i.ytimg.com/vi/zSyICkGZ6iM/hqdefault.jpg,Key Differences,,en,PT5M2S
6,youtube video,2OGC59ZFBNfc5N7ikJ6mzQjz-6g,youtu.be/MRxAcTjjRYA,2019-08-10T10:42:24Z,youtu.be/MRxAcTjjRYA,Guarantee Vs Warranty: Difference Between them with definition and Comparison Chart,"This video tutorial explains you the difference between Guarantee and Warranty. Further in this video, we have also discussed the meaning of guarantee in detail

Likewise Warranty is explained here. The video ends with a comparison chart which explains the difference between the two. 

To study the topic further in detail, visit our official website:
https://keydifferences.com/difference-between-guarantee-and-warranty.html",https://i.ytimg.com/vi/MRxAcTjjRYA/hqdefault.jpg,Key Differences,,en,PT4M
7,youtube video,LInoazyp7bM9RyfZiyTvEbc-ykI,youtu.be/D740SawepFU,2018-04-27T11:48:42Z,youtu.be/D740SawepFU,Savings Vs Current Account: Difference between them with features & comparison,"The video tutorial explains you the differences between savings account and current account. Further, the video also gives a brief description of the savings account and also discusses its features. In the same way, current account has been discussed, with its features. 

At the end of this video, you can find a comparison chart explaining the difference between savings account and current account. 

To study more on this topic, you can visit our official website:- https://keydifferences.com/difference-between-current-account-and-saving-account.html",https://i.ytimg.com/vi/D740SawepFU/hqdefault.jpg,Key Differences,,en,PT6M28S
8,youtube video,f32mNGfSCZ0iKpMwxx9AaJcwXs0,youtu.be/8sMTYivuCGI,2018-02-06T12:40:01Z,youtu.be/8sMTYivuCGI,Golden Rules of Accounting with Example (Journal Entry) - Types of Accounts,"In this video tutorial, you will learn about the rules for debit and credit, i.e. the Golden Rules of Accounting, along with appropriate examples. In addition to this, we have also discussed, why do we need rules for journalising. This lecture also explains different types of accounts, i.e. personal and impersonal account with examples",https://i.ytimg.com/vi/8sMTYivuCGI/hqdefault.jpg,Key Differences,,,PT11M32S
9,youtube video,X7uIKxZr0K8FGoyKQw_mdLAH8wI,youtu.be/aJku7G2j9BU,2018-05-15T09:31:53Z,youtu.be/aJku7G2j9BU,Difference between Fixed Deposit and Recurring Deposit,"In this video lecture you can find the difference between fixed deposit and recurring deposit. In addition to this, the video also discusses the meaning and features of the fixed deposit. Likewise, recurring deposit has been explained. The video concludes with a comparison of fixed deposit and recurring deposit.

To study the topic further in detail, you can visit our official website:- https://keydifferences.com/difference-between-fixed-deposit-and-recurring-deposit.html",https://i.ytimg.com/vi/aJku7G2j9BU/hqdefault.jpg,Key Differences,,en,PT6M24S
